День,Предмет,Начало,Конец,Неделя,Преподаватель,Аудитория
ПН,Инженерная и компьютерная графика,11:15,12:45,even,,
ПН,Введение в информационные технологии,13:00,14:30,even,,
ПН,Инженерная и компьютерная графика,15:10,16:40,even,,
ПН,Введение в информационные технологии,16:55,18:25,even,,
ВТ,История России,09:30,11:00,even,,
ВТ,История России,11:15,12:45,even,,
ВТ,Элективные дисциплины по физической культуре и спорту,13:00,14:30,even,,
ВТ,Высшая математика,15:10,16:40,even,,
ВТ,Высшая математика,16:55,18:25,even,,
ВТ,Линейная алгебра и аналитическая геометрия,18:30,20:00,even,,
СР,Физика,09:30,11:00,even,,
СР,Иностранный язык,11:15,12:45,even,,
СР,Теоретические основы электротехники,13:00,14:30,even,,
СР,Основы российской государственности,15:10,16:40,even,,
ЧТ,Теоретические основы электротехники,09:30,11:00,even,,
ЧТ,История России,11:15,12:45,even,,
ЧТ,Теоретические основы электротехники,13:00,14:30,even,,
ЧТ,Физика,15:10,16:40,even,,
ЧТ,Русский язык и культура речи,16:55,18:25,even,,
ПТ,Физическая культура и спорт,09:30,11:00,even,,
ПТ,Экономика,11:15,12:45,even,,
ПТ,Элективные дисциплины по физической культуре и спорту,15:10,16:40,even,,
